association_name,canonical,score,wup,bert,method,verb_tokens,prep_tokens,adverb_tokens,all_tokens,participants,occurrence_count,low_confidence
HVACServesFloor,UsedFor,0.7136,1.0,0.4272,wup+bert,serves,,,hvac | serves | floor,AirHandlingUnit + Floor,2,
HVACServesOR,UsedFor,0.7641,1.0,0.5283,wup+bert,serves,,,hvac | serves | or,HVACSystem + OperatingRoom,4,
HVACUnitConditionsImagingRoom,HasA,0.5142,0.6,0.4284,wup+bert,conditions,,,hvac | unit | conditions | imaging | room,HVACUnit + ImagingRoom,2,
HVACUnitConditionsOperatingRoom,HasA,0.5142,0.6,0.4284,wup+bert,conditions,,,hvac | unit | conditions | operating | room,HVACUnit + OperatingRoom,2,
HVACUnitConditionsPatientRoom,HasA,0.5142,0.6,0.4284,wup+bert,conditions,,,hvac | unit | conditions | patient | room,HVACUnit + PatientRoom,2,
HVACUnitConditionsRoom,HasA,0.5142,0.6,0.4284,wup+bert,conditions,,,hvac | unit | conditions | room,HVACUnit + Room,2,
HalfShaftDrivesWheelAssembly,UsedFor,0.8104,1.0,0.6208,wup+bert,drives,,,half | shaft | drives | wheel | assembly,HalfShaft + WheelAssembly,2,
HalfShaftToWheelHub,Connects,0.3146,0.0,0.3146,wup+bert,,to,,half | shaft | to | wheel | hub,HalfShaft + WheelHub,2,YES
HandoffCareTeam,CapableOf,0.6465,1.0,0.293,wup+bert,,,,handoff | care | team,CareTeam + ClinicalHandoff,1,
HealthCenterCounseling,Causes,0.5104,0.8571,0.1637,wup+bert,counseling,,,health | center | counseling,CounselingService + HealthCenter,1,
HeatSourceHeatsKettle,UsedFor,0.6689,0.8571,0.4807,wup+bert,heats,,,heat | source | heats | kettle,BrewKettle + HeatSource,4,
HeatSourceSupportsBoilVessel,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,heat | source | supports | boil | vessel,BoilVessel + HeatSource,2,
HeatSourceSupportsMashVessel,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,heat | source | supports | mash | vessel,HeatSource + MashVessel,2,
HeaterCoreTapsCooling,HasA,0.4694,0.6667,0.2721,wup+bert,taps,,,heater | core | taps | cooling,CoolingCircuit + HeaterCore,2,YES
HeaterCoreTapsRadiator,HasA,0.4694,0.6667,0.2721,wup+bert,taps,,,heater | core | taps | radiator,HeaterCore + Radiator,2,YES
HeaterCoreToCoolingSystemTap,UsedFor,0.3609,0.0,0.3609,wup+bert,,to,,heater | core | to | cooling | system | tap,CoolingSystem + HeaterCore,2,YES
HeatingElementInBoiler,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,heating | element | in | boiler,Boiler + BoilerHeatingElement,2,
HeatingElementInHLT,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,heating | element | in | hlt,HeatingElement + HotLiquorTank,2,
HeatingElementInKettle,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,heating | element | in | kettle,BrewKettle + HeatingElement,2,
HeatingEquipmentSupportsBoilKettle,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,heating | equipment | supports | boil | kettle,BoilKettle + HeatingEquipment,2,
HeatingEquipmentSupportsMashTun,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,heating | equipment | supports | mash | tun,HeatingEquipment + MashTun,2,
HeatingWrapOnFermenter,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,heating | wrap | on | fermenter,Fermenter + HeatingWrap,2,
HomeContainsRoom,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,home | contains | room,Home + Room,2,
HomebrewSiteContainsColdSideCluster,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,homebrew | site | contains | cold | side | cluster,ColdSideCluster + HomebrewSite,2,
HomebrewSiteContainsHotSideCluster,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,homebrew | site | contains | hot | side | cluster,HomebrewSite + HotSideCluster,2,
HomebrewSiteContainsIngredientStorageCluster,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,homebrew | site | contains | ingredient | storage | cluster,HomebrewSite + IngredientStorageCluster,2,
HomebrewSiteContainsPackagingCluster,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,homebrew | site | contains | packaging | cluster,HomebrewSite + PackagingCluster,2,
HomebrewingSetupContainsBrewingStation,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,homebrewing | setup | contains | brewing | station,BrewingStation + HomebrewingSetup,2,
HoodInPharmacy,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,hood | in | pharmacy,CompoundingHood + PharmacySpace,2,
HopPacketStoredAdjacentToKettle,ReceivesAction,0.3639,0.5714,0.1564,wup+bert,stored,to,,hop | packet | stored | adjacent | to | kettle,HopPacket + Kettle,2,YES
HopSpiderInKettle,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,hop | spider | in | kettle,BrewKettle + HopSpider,2,
HopperOnGrinder,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,hopper | on | grinder,CoffeeGrinder + GrinderHopper,2,
HospitalCampusContainsBuilding,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,hospital | campus | contains | building,Building + HospitalCampus,2,
HospitalSiteContainsDiagnosticCluster,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,hospital | site | contains | diagnostic | cluster,DiagnosticCluster + HospitalSite,2,
HospitalSiteContainsInpatientCluster,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,hospital | site | contains | inpatient | cluster,HospitalSite + InpatientCluster,2,
HospitalSiteContainsProceduralCluster,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,hospital | site | contains | procedural | cluster,HospitalSite + ProceduralCluster,2,
HospitalSiteContainsSupportCluster,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,hospital | site | contains | support | cluster,HospitalSite + SupportCluster,2,
HotPlateKeepsCarafeWarm,HasA,0.6438,1.0,0.2876,wup+bert,keeps | warm,,,hot | plate | keeps | carafe | warm,Carafe + HotPlate,2,
HotPlateWarmsCarafe,UsedFor,0.3956,0.3333,0.4579,wup+bert,warms,,,hot | plate | warms | carafe,Carafe + HotPlate,4,YES
HotSideClusterContainsBoilVessel,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,hot | side | cluster | contains | boil | vessel,BoilVessel + HotSideCluster,2,
HotSideClusterContainsHeatSource,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,hot | side | cluster | contains | heat | source,HeatSource + HotSideCluster,2,
HotSideClusterContainsMashVessel,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,hot | side | cluster | contains | mash | vessel,HotSideCluster + MashVessel,2,
HousingUnitAssignedToPerson,HasA,0.6855,1.0,0.3709,wup+bert,assigned,to,,housing | unit | assigned | to | person,HousingUnit + Person,2,
HubAssemblyRotatesTireWheelUnit,UsedFor,0.5965,0.8,0.3929,wup+bert,rotates,,,hub | assembly | rotates | tire | wheel | unit,HubAssembly + TireWheelUnit,2,
HubConnectedToRouter,Connects,0.8664,1.0,0.7328,wup+bert,connected,to,,hub | connected | to | router,SmartHomeHub + SmartRouter,4,
HubOnRouter,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,hub | on | router,SmartHomeHub + SmartRouter,2,
HubStartup,MadeOf,0.4486,0.8,0.0971,wup+bert,,,,hub | startup,InovationHub + Startup,1,YES
HumidifierServesRoom,UsedFor,0.7834,1.0,0.5668,wup+bert,serves,,,humidifier | serves | room,Room + SmartHumidifier,2,
HumiditySensorInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,humidity | sensor | in | room,HumiditySensor + Room,2,
HydrometerInCylinder,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,hydrometer | in | cylinder,GraduatedCylinder + Hydrometer,4,
HydrometerUsedWithFermentationBucket,Connects,0.4969,0.5,0.4938,wup+bert,used,with,,hydrometer | used | with | fermentation | bucket,FermentationBucket + Hydrometer,2,YES
ICUBayOnFloor,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,icu | bay | on | floor,Floor + ICUBay,2,
ICUOnFloor,CapableOf,0.4276,0.5,0.3551,wup+bert,,on,,icu | on | floor,Floor + IntensiveCareUnit,4,YES
ICUVentilatorMonitor,PartOf,0.3827,0.5,0.2655,wup+bert,,,,icu | ventilator | monitor,PatientMonitor + Ventilator,1,YES
ITClosetSupportsImagingSuite,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,it | closet | supports | imaging | suite,ITCloset + ImagingSuite,2,
IgnitionCoilPowersSparkPlug,UsedFor,0.8222,1.0,0.6444,wup+bert,powers,,,ignition | coil | powers | spark | plug,IgnitionCoil + SparkPlug,2,
IgnitionFiresCombustion,Causes,0.7915,1.0,0.5831,wup+bert,fires,,,ignition | fires | combustion,CombustionAssembly + IgnitionSystem,2,
ImagingInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,imaging | in | building,Building + ImagingCenter,2,
ImagingOnFloor,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,imaging | on | floor,Floor + ImagingSuite,2,
ImagingSuiteOnFloor,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,imaging | suite | on | floor,Floor + ImagingSuite,2,
ImagingWorkstation,CapableOf,0.3387,0.5714,0.106,wup+bert,imaging,,,imaging | workstation,ClinicalWorkstation + ImagingSystem,1,YES
IncubatorInNursery,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,incubator | in | nursery,IncubatorUnit + PatientRoom,2,
IncubatorStartup,MadeOf,0.4862,0.8235,0.1489,wup+bert,,,,incubator | startup,Incubator + Startup,1,YES
InductionUnderKettle,AtLocation,1.0,0.0,1.0,spatial_prep,,under,,induction | under | kettle,BrewKettle + InductionCooktop,2,
InfusionPumpAtBedside,AtLocation,1.0,0.0,1.0,spatial_prep,,at,,infusion | pump | at | bedside,InfusionPump + PatientBed,2,
IngredientStorageClusterContainsGrainSupply,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,ingredient | storage | cluster | contains | grain | supply,GrainSupply + IngredientStorageCluster,2,
IngredientStorageClusterContainsHopSupply,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,ingredient | storage | cluster | contains | hop | supply,HopSupply + IngredientStorageCluster,2,
IngredientStorageClusterContainsWaterSupply,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,ingredient | storage | cluster | contains | water | supply,IngredientStorageCluster + WaterSupply,2,
IngredientStorageClusterContainsYeastSupply,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,ingredient | storage | cluster | contains | yeast | supply,IngredientStorageCluster + YeastSupply,2,
InjectorFeedsCylinder,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,injector | feeds | cylinder,Cylinder + FuelInjector,2,
InjectorRailSuppliesEngine,UsedFor,0.8066,1.0,0.6131,wup+bert,supplies,,,injector | rail | supplies | engine,Engine + InjectorRail,2,
InlineThermometerOnTubing,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,inline | thermometer | on | tubing,InlineThermometer + SiliconeTubing,2,
InpatientClusterContainsPatientBay,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,inpatient | cluster | contains | patient | bay,InpatientCluster + PatientBay,2,
InstructionalSpaceIsRoom,HasPrerequisite,0.7964,1.0,0.5929,wup+bert,is,,,instructional | space | is | room,InstructionalSpace + Room,2,
InstructorAssignmentAssignedToCourseSection,HasA,0.6855,1.0,0.3709,wup+bert,assigned,to,,instructor | assignment | assigned | to | course | section,CourseSection + InstructorAssignment,2,
IntakeManifoldAttachedToCylinderHead,Connects,0.7999,1.0,0.5998,wup+bert,attached,to,,intake | manifold | attached | to | cylinder | head,CylinderHead + IntakeManifold,2,
IntercoolerCoolsChargedAir,Causes,0.3822,0.5,0.2643,wup+bert,cools | charged,,,intercooler | cools | charged | air,IntakeManifold + Intercooler + Turbocharger,2,YES
InverterChargesBattery,CapableOf,0.4321,0.5,0.3642,wup+bert,charges,,,inverter | charges | battery,HomeBattery + SolarInverter,4,YES
InverterFeedsMeter,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,inverter | feeds | meter,SmartEnergyMeter + SolarInverter,4,
IrrigationControllerManagesValve,CapableOf,0.8129,1.0,0.6259,wup+bert,manages,,,irrigation | controller | manages | valve,SmartIrrigationController + SmartWaterValve,2,
IrrigationManagesValve,CapableOf,0.8129,1.0,0.6259,wup+bert,manages,,,irrigation | manages | valve,SmartIrrigationController + SmartWaterValve,4,
KegInKegerator,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,keg | in | kegerator,Keg + Kegerator,6,
KegToTapViaLine,Connects,0.3901,0.0,0.3901,wup+bert,,to | via,,keg | to | tap | via | line,BeerLine + BeerTap + Keg,2,YES
KegWasherCleansKeg,CapableOf,0.5257,0.6,0.4514,wup+bert,cleans,,,keg | washer | cleans | keg,Keg + KegWasher,2,
KettleContainsFalseBottom,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,kettle | contains | false | bottom,FalseBottom + Kettle,2,
KettleContainsValveAssembly,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,kettle | contains | valve | assembly,Kettle + ValveAssembly,2,
KettlePoursToDripper,UsedFor,0.6252,0.8571,0.3932,wup+bert,pours,to,,kettle | pours | to | dripper,GooseneckKettle + PourOverDripper,4,
KettleSuppliePourOver,RelatedTo,0.1904,0.0,0.3808,fallback,,,,kettle | supplie | pour | over,GooseneckKettle + PourOverDripper,2,YES
KettleSuppliesAeropress,UsedFor,0.8066,1.0,0.6131,wup+bert,supplies,,,kettle | supplies | aeropress,AeropressKit + GooseneckKettle,2,
KettleSuppliesFrenchPress,UsedFor,0.8066,1.0,0.6131,wup+bert,supplies,,,kettle | supplies | french | press,FrenchPress + StandardKettle,2,
KettleSuppliesSiphon,UsedFor,0.8066,1.0,0.6131,wup+bert,supplies,,,kettle | supplies | siphon,SiphonBrewer + StandardKettle,2,
KettleToChiller,UsedFor,0.3809,0.0,0.3809,wup+bert,,to,,kettle | to | chiller,BrewKettle + WortChiller,4,YES
LabAnalyzerOnNetwork,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,lab | analyzer | on | network,HospitalNetwork + LabAnalyzer,2,
LabGrant,AtLocation,0.5457,0.875,0.2163,wup+bert,,,,lab | grant,Grant + ResearchLab,1,
LabInBuilding,AtLocation,0.6778,0.875,0.4806,wup+bert,,in,,lab | in | building,Building + ClinicalLaboratory,2,
LabInRoom,AtLocation,0.6778,0.875,0.4806,wup+bert,,in,,lab | in | room,Laboratory + Room,2,
LabInstrumentWorkstation,AtLocation,0.5112,0.875,0.1475,wup+bert,,,,lab | instrument | workstation,ClinicalWorkstation + LabInstrument,1,
LabOnFloor,AtLocation,0.6385,0.875,0.4021,wup+bert,,on,,lab | on | floor,ClinicalLaboratory + Floor,4,
LabSharedEquipment,ReceivesAction,0.4418,0.6667,0.2169,wup+bert,shared,,,lab | shared | equipment,ResearchLab + SharedEquipment,1,YES
LabelOnBottle,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,label | on | bottle,Bottle + BottleLabel,2,
LaboratoryInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,laboratory | in | building,Building + Laboratory,2,
LaboratoryResourceUsedByPerson,HasPrerequisite,0.4777,0.5,0.4553,wup+bert,used,by,,laboratory | resource | used | by | person,LaboratoryResource + Person,2,YES
LeakSensorTriggersValve,Causes,0.8278,1.0,0.6557,wup+bert,triggers,,,leak | sensor | triggers | valve,SmartWaterValve + WaterLeakSensor,6,
LeakSensorTriggersWaterValve,Causes,0.8278,1.0,0.6557,wup+bert,triggers,,,leak | sensor | triggers | water | valve,LeakSensor + WaterValve,2,
LearningActivityGeneratesAssessment,Causes,0.6854,0.8,0.5707,wup+bert,generates,,,learning | activity | generates | assessment,Assessment + LearningActivity,2,
LectureCaptureInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,lecture | capture | in | room,LectureCapture + Room,2,
LectureHallInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,lecture | hall | in | room,LectureHall + Room,2,
LibraryCareerServices,UsedFor,0.5838,1.0,0.1677,wup+bert,services,,,library | career | services,CareerServices + Library,1,
LibraryITServices,UsedFor,0.6527,1.0,0.3054,wup+bert,services,,,library | it | services,ITServices + Library,1,
LibraryInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,library | in | building,Building + LibraryBranch,4,
LibraryResourceAccessedByPerson,AtLocation,0.4357,0.4,0.4714,wup+bert,accessed,by,,library | resource | accessed | by | person,LibraryResource + Person,2,YES
LightFixtureInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,light | fixture | in | room,Room + SmartLightFixture,2,
LightSensorControlsBlinds,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,light | sensor | controls | blinds,AmbientLightSensor + MotorizedBlinds,2,
LightSensorControlsCovering,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,light | sensor | controls | covering,AmbientLightSensor + SmartWindowCovering,2,
LightStripInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,light | strip | in | room,LEDLightStrip + Room,2,
LightSwitchControlsBulb,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,light | switch | controls | bulb,SmartBulb + SmartLightSwitch,2,
LightingFixtureIlluminatesRoom,IsA,0.4964,0.8,0.1928,wup+bert,illuminates,,,lighting | fixture | illuminates | room,LightingFixture + Room,2,YES
LightingSystemIlluminatesZone,IsA,0.4964,0.8,0.1928,wup+bert,illuminates,,,lighting | system | illuminates | zone,LightingSystem + Zone,2,YES
LineConnectsKegToTap,Connects,0.8784,1.0,0.7569,wup+bert,connects,to,,line | connects | keg | to | tap,BeerLine + BeerTap + Keg,2,
LockOnDoor,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,lock | on | door,Room + SmartDoorLock,2,
LockOnRoomEntry,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,lock | on | room | entry,Room + SmartDoorLock,2,
LubricationServicesEngine,UsedFor,0.6851,1.0,0.3702,wup+bert,services,,,lubrication | services | engine,CombustionAssembly + LubricationSystem,2,
MRIInSuite,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,mri | in | suite,ImagingSuite + MRIScanner,2,
ManifoldInMashTun,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,manifold | in | mash | tun,ManifoldScreen + MashTun,2,
ManifoldPressuresKeg,UsedFor,0.5717,0.8571,0.2862,wup+bert,pressures,,,manifold | pressures | keg,GasManifold + Keg,2,
ManifoldSuppliesOutlet,UsedFor,0.8066,1.0,0.6131,wup+bert,supplies,,,manifold | supplies | outlet,GasManifold + MedicalGasOutlet,2,
ManifoldToConverterToMuffler,UsedFor,0.3284,0.0,0.3284,wup+bert,,to | to,,manifold | to | converter | to | muffler,CatalyticConverter + ExhaustManifold + Muffler,2,YES
ManifoldToKeg,CapableOf,0.3935,0.0,0.3935,wup+bert,,to,,manifold | to | keg,GasManifold + Keg,2,YES
MashTunDrainsToKettle,UsedFor,0.3993,0.4444,0.3542,wup+bert,drains,to,,mash | tun | drains | to | kettle,BrewKettle + MashTun,4,YES
MasterCylinderPressuresCaliper,UsedFor,0.5717,0.8571,0.2862,wup+bert,pressures,,,master | cylinder | pressures | caliper,BrakeCaliper + BrakeMasterCylinder,2,
MealPlanAtDiningHall,AtLocation,1.0,0.0,1.0,spatial_prep,,at,,meal | plan | at | dining | hall,DiningHall + MealPlan,2,
MedRoomServesUnit,UsedFor,0.6659,1.0,0.3318,wup+bert,med | serves,,,med | room | serves | unit,MedicationRoom + NurseStation,2,
MedicalGasOutletInstalledInOperatingRoom,AtLocation,0.8136,1.0,0.6271,wup+bert,installed,in,,medical | gas | outlet | installed | in | operating | room,MedicalGasOutlet + OperatingRoom,2,
MedicalGasOutletInstalledInPatientRoom,AtLocation,0.8136,1.0,0.6271,wup+bert,installed,in,,medical | gas | outlet | installed | in | patient | room,MedicalGasOutlet + PatientRoom,2,
MedicalGasPanelServesEquipmentBoom,UsedFor,0.7834,1.0,0.5668,wup+bert,serves,,,medical | gas | panel | serves | equipment | boom,EquipmentBoom + MedicalGasPanel,2,
MedicationPrescription,CapableOf,0.4522,0.7059,0.1986,wup+bert,,,,medication | prescription,Medication + Prescription,1,YES
MeshNodeExtendsRouter,UsedFor,0.6034,1.0,0.2069,wup+bert,extends,,,mesh | node | extends | router,MeshWiFiNode + SmartRouter,6,
MetalFilterInDripper,MadeOf,0.64,0.875,0.4051,wup+bert,,in,,metal | filter | in | dripper,MetalPourOverFilter + PourOverDripper,2,
MeterMonitorsBreaker,ReceivesAction,0.6774,1.0,0.3549,wup+bert,monitors,,,meter | monitors | breaker,SmartCircuitBreaker + SmartEnergyMeter,4,
MeterMonitorsCircuit,ReceivesAction,0.6774,1.0,0.3549,wup+bert,monitors,,,meter | monitors | circuit,SmartCircuitBreaker + SmartEnergyMeter,2,
MeterOnBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,meter | on | building,Building + UtilityMeter,4,
MicroscopeInLab,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,microscope | in | lab,ClinicalLaboratory + Microscope,2,
MilkPitcherPoursToCappuccino,UsedFor,0.6252,0.8571,0.3932,wup+bert,pours,to,,milk | pitcher | pours | to | cappuccino,CappuccinoCup + MilkPitcher,2,
MilkPitcherPoursToLatteGlass,UsedFor,0.6252,0.8571,0.3932,wup+bert,pours,to,,milk | pitcher | pours | to | latte | glass,LatteGlass + MilkPitcher,2,
MillCrushesToMashTun,Causes,0.4693,0.5,0.4387,wup+bert,crushes,to,,mill | crushes | to | mash | tun,GrainMill + MashTun,2,YES
MillFeedsGrainToMash,UsedFor,0.6592,1.0,0.3183,wup+bert,feeds | grain,to,,mill | feeds | grain | to | mash,GrainMill + MashTun,2,
MokaPotPoursToCup,UsedFor,0.6252,0.8571,0.3932,wup+bert,pours,to,,moka | pot | pours | to | cup,EspressoCup + MokaPot,2,
MonitorInICU,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,monitor | in | icu,BedsideMonitor + ICUBay,2,
MonitorInRecovery,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,monitor | in | recovery,BedsideMonitor + RecoveryBay,2,
MonitorInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,monitor | in | room,BedsideMonitor + PatientRoom,2,
MonitorOnNetwork,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,monitor | on | network,BedsideMonitor + HospitalNetwork,2,
MotionSensorCoversRoom,Causes,0.6348,0.9333,0.3363,wup+bert,covers,,,motion | sensor | covers | room,MotionSensor + Room,2,
MotionSensorInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,motion | sensor | in | room,MotionSensor + Room,2,
MotionSensorObservesRoom,ReceivesAction,0.8298,1.0,0.6596,wup+bert,observes,,,motion | sensor | observes | room,MotionSensor + Room,2,
MotionSensorTriggersCamera,Causes,0.8278,1.0,0.6557,wup+bert,triggers,,,motion | sensor | triggers | camera,MotionSensor + SecurityCamera,2,
MotionSensorTriggersLight,Causes,0.8278,1.0,0.6557,wup+bert,triggers,,,motion | sensor | triggers | light,MotionSensor + SmartBulb; MotionSensor + SmartLightFixture,6,
NetworkHubConnectsCamera,Connects,0.8927,1.0,0.7855,wup+bert,connects,,,network | hub | connects | camera,Camera + NetworkHub,2,
NetworkHubConnectsContactSensor,Connects,0.8927,1.0,0.7855,wup+bert,connects,,,network | hub | connects | contact | sensor,ContactSensor + NetworkHub,2,
NetworkHubConnectsDoorLock,Connects,0.8927,1.0,0.7855,wup+bert,connects,,,network | hub | connects | door | lock,DoorLock + NetworkHub,2,
NetworkHubConnectsLeakSensor,Connects,0.8927,1.0,0.7855,wup+bert,connects,,,network | hub | connects | leak | sensor,LeakSensor + NetworkHub,2,
NetworkHubConnectsLightingFixture,Connects,0.8927,1.0,0.7855,wup+bert,connects,,,network | hub | connects | lighting | fixture,LightingFixture + NetworkHub,2,
NetworkHubConnectsMotionSensor,Connects,0.8927,1.0,0.7855,wup+bert,connects,,,network | hub | connects | motion | sensor,MotionSensor + NetworkHub,2,
NetworkHubConnectsSmartPlug,Connects,0.8927,1.0,0.7855,wup+bert,connects,,,network | hub | connects | smart | plug,NetworkHub + SmartPlug,2,
NetworkHubConnectsSpeakerDisplay,Connects,0.8927,1.0,0.7855,wup+bert,connects,,,network | hub | connects | speaker | display,NetworkHub + SpeakerDisplay,2,
NetworkHubConnectsThermostat,Connects,0.8927,1.0,0.7855,wup+bert,connects,,,network | hub | connects | thermostat,NetworkHub + Thermostat,2,
NetworkSystemConnectsAutomationController,Connects,0.8927,1.0,0.7855,wup+bert,connects,,,network | system | connects | automation | controller,AutomationController + NetworkSystem,2,
NurseAssignedToFloor,HasA,0.6855,1.0,0.3709,wup+bert,assigned,to,,nurse | assigned | to | floor,Floor + Nurse,2,
NurseCallEquipment,UsedFor,0.5821,0.8889,0.2754,wup+bert,,,,nurse | call | equipment,MedicalEquipment + NurseCallPanel,1,
NurseCallInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,nurse | call | in | room,NurseCallUnit + PatientRoom,2,
NurseInICU,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,nurse | in | icu,IntensiveCareUnit + Nurse,2,
NurseOnUnit,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,nurse | on | unit,Nurse + NursingUnit,4,
NurseStationServesRooms,UsedFor,0.7224,1.0,0.4448,wup+bert,serves | rooms,,,nurse | station | serves | rooms,NurseStation + PatientRoom,2,
NursingUnitOnFloor,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,nursing | unit | on | floor,Floor + NursingUnit,4,
O2SensorMonitorsExhaust,ReceivesAction,0.5858,1.0,0.1717,wup+bert,monitors | exhaust,,,sensor | monitors | exhaust,CatalyticConverter + OxygenSensor,2,
OROnFloor,HasPrerequisite,0.4526,0.5,0.4052,wup+bert,,on,,or | on | floor,Floor + OperatingRoom,6,YES
ObservedStateFormsSensedCondition,ReceivesAction,0.7483,1.0,0.4967,wup+bert,observed | forms,,,observed | state | forms | sensed | condition,EnergyState + EnvironmentalState + OccupancyState + SecurityState + SensedCondition,2,
OccupancyControlsHVAC,CapableOf,0.649,1.0,0.2979,wup+bert,controls | hvac,,,occupancy | controls | hvac,OccupancySensor + SmartThermostat,2,
OccupancyControlsThermostat,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,occupancy | controls | thermostat,OccupancySensor + SmartThermostat,2,
OccupancySensorInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,occupancy | sensor | in | room,OccupancySensor + Room,4,
OilPanFeedsOilPump,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,oil | pan | feeds | oil | pump,OilPan + OilPump,2,
OilPumpLubricatesEngine,Connects,0.3754,0.4,0.3508,wup+bert,lubricates,,,oil | pump | lubricates | engine,EngineBlock + OilFilter + OilPump,2,YES
PACSStoresFromSuite,ReceivesAction,0.3646,0.5714,0.1577,wup+bert,stores,from,,pacs | stores | from | suite,ImagingSuite + PACSServer,2,YES
PACSStoresImaging,ReceivesAction,0.385,0.5714,0.1985,wup+bert,stores,,,pacs | stores | imaging,ImagingCenter + PACSServer; ImagingSuite + PACSServer,4,YES
PIDControlsBoiler,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,pid | controls | boiler,Boiler + PIDController,6,
PIGraduateResearcher,CapableOf,0.6473,0.8889,0.4057,wup+bert,,,,pi | graduate | researcher,GraduateResearcher + PrincipalInvestigator,1,
PIPostdoc,CapableOf,0.6473,0.8889,0.4057,wup+bert,,,,pi | postdoc,Postdoc + PrincipalInvestigator,1,
PIProject,CapableOf,0.6473,0.8889,0.4057,wup+bert,,,,pi | project,PrincipalInvestigator + ResearchProject,1,
